,workerid,predicate,noun,sentence_type,slide_number,response
746,29,big,boys,dist,18,0.89
747,29,tall,buildings,dist,21,0.92
748,29,tall,buildings,coll,21,0.02
749,29,tall,plants,dist,22,0.93
750,29,tall,plants,coll,22,0.07
751,29,heavy,loads,coll,23,0.15
752,29,heavy,loads,dist,23,0.88
753,29,big,rooms,dist,24,0.81
754,29,big,rooms,coll,24,0.46
755,29,heavy,lids,dist,25,0.85
756,29,heavy,lids,coll,25,0.35
757,29,heavy,bags,coll,27,0.69
758,29,heavy,bags,dist,27,0.6
759,29,heavy,trees,dist,29,0.54
760,29,heavy,trees,coll,29,0.66
761,29,big,children,coll,32,0.06
762,29,big,children,dist,32,0.9
