"","trial","workerid","disambiguator","utterance","scenario","choice","language"
"382",4,42,"","big","move","dist_list","English"
"383",5,42,"together ","big","move","coll_list","English"
"384",6,42,"","heavy","move","dist_list","English"
"385",7,42,"","tall","move","dist_list","English"
"386",8,42,"each ","big","move","dist_list","English"
"387",9,42,"each ","tall","move","dist_list","English"
"388",1,43,"","tall","inspect","dist_list","English"
"389",2,43,"each ","tall","inspect","dist_list","English"
"390",3,43,"each ","heavy","inspect","coll_list","English"
"391",4,43,"each ","big","inspect","dist_list","English"
"392",5,43,"","heavy","inspect","coll_list","English"
"393",6,43,"together ","tall","inspect","dist_list","English"
"394",7,43,"together ","big","inspect","coll_list","English"
"395",8,43,"together ","heavy","inspect","coll_list","English"
"396",9,43,"","big","inspect","dist_list","English"
"397",1,44,"each ","heavy","move","coll_list","English"
"398",2,44,"together ","tall","move","coll_list","English"
"399",3,44,"each ","big","move","dist_list","English"
"400",4,44,"together ","heavy","move","coll_list","English"
"401",5,44,"","tall","move","dist_list","English"
"402",6,44,"","heavy","move","coll_list","English"
"403",7,44,"","big","move","dist_list","English"
"404",8,44,"together ","big","move","coll_list","English"
"405",9,44,"each ","tall","move","dist_list","English"
"406",1,45,"each ","heavy","move","dist_list","English"
"407",2,45,"","big","move","dist_list","English"
"408",3,45,"","heavy","move","dist_list","English"
"409",4,45,"together ","heavy","move","coll_list","English"
"410",5,45,"","tall","move","dist_list","English"
"411",6,45,"together ","tall","move","coll_list","English"
"412",7,45,"each ","big","move","dist_list","English"
"413",8,45,"together ","big","move","coll_list","English"
"414",9,45,"each ","tall","move","dist_list","English"
"415",1,46,"","big","move","dist_list","English"
"416",2,46,"each ","heavy","move","coll_list","English"
"417",3,46,"together ","tall","move","coll_list","English"
"418",4,46,"each ","tall","move","coll_list","English"
"419",5,46,"","tall","move","dist_list","English"
"420",6,46,"together ","heavy","move","coll_list","English"
"421",7,46,"each ","big","move","coll_list","English"
"422",8,46,"","heavy","move","dist_list","English"
"423",9,46,"together ","big","move","coll_list","English"
"424",1,47,"together ","big","move","coll_list","English"
"425",2,47,"together ","tall","move","coll_list","English"
"426",3,47,"each ","tall","move","dist_list","English"
"427",4,47,"","tall","move","dist_list","English"
"428",5,47,"together ","heavy","move","coll_list","English"
"429",6,47,"each ","big","move","dist_list","English"
"430",7,47,"each ","heavy","move","dist_list","English"
"431",8,47,"","heavy","move","dist_list","English"
"432",9,47,"","big","move","dist_list","English"
"433",1,48,"together ","heavy","inspect","coll_list","English"
"434",2,48,"together ","big","inspect","coll_list","English"
"435",3,48,"","heavy","inspect","dist_list","English"
"436",4,48,"","big","inspect","dist_list","English"
"437",5,48,"each ","tall","inspect","dist_list","English"
"438",6,48,"","tall","inspect","coll_list","English"
"439",7,48,"together ","tall","inspect","coll_list","English"
"440",8,48,"each ","heavy","inspect","dist_list","English"
"441",9,48,"each ","big","inspect","dist_list","English"
"442",1,49,"together ","heavy","inspect","coll_list","english"
"443",2,49,"","tall","inspect","coll_list","english"
"444",3,49,"each ","heavy","inspect","dist_list","english"
"445",4,49,"each ","big","inspect","dist_list","english"
"446",5,49,"together ","big","inspect","coll_list","english"
"447",6,49,"together ","tall","inspect","coll_list","english"
"448",7,49,"each ","tall","inspect","dist_list","english"
"449",8,49,"","big","inspect","dist_list","english"
"450",9,49,"","heavy","inspect","dist_list","english"
